PREF_CODE,PREF,GEN
1,Hokkaido,3612
2,Aomori,989
3,Iwate,815
4,Miyagi,686
5,Akita,522
6,Yamagata,750
7,Fukushima,1047
8,Ibaraki,1716
9,Tochigi,1005
10,Gunma,649
11,Saitama,768
12,Chiba,1258
13,Tokyo,75
14,Kanagawa,246
15,Niigata,1097
16,Toyama,260
17,Ishikawa,218
18,Fukui,185
19,Yamanashi,308
20,Nagano,658
21,Gifu,360
22,Shizuoka,722
23,Aichi,910
24,Mie,370
25,Shiga,197
26,Kyoto,220
27,Osaka,104
28,Hyogo,517
29,Nara,127
30,Wakayama,303
31,Tottori,227
32,Shimane,206
33,Okayama,400
34,Hiroshima,351
35,Yamaguchi,258
36,Tokushima,300
37,Kagawa,236
38,Ehime,446
39,Kochi,328
40,Fukuoka,890
41,Saga,515
42,Nagasaki,408
43,Kumamoto,1080
44,Oita,439
45,Miyazaki,833
46,Kagoshima,1028
47,Okinawa,402
