year	month	dec
12	11	1990's
11	9	1990's
8	6	1990's
12	8	1990's
11	2	1990's
9	7	1990's
9	7	1990's
9	8	1990's
9	3	1990's
12	1	1990's
8	4	1990's
7	7	1990's
8	4	1990's
8	0	1990's
7	6	1990's
10	3	1990's
10	3	1990's
8	0	1990's
8	0	1990's
8	2	1990's
6	10	1990's
9	10	1990's
8	2	1990's
7	3	1990's
7	9	1990's
8	2	1990's
7	6	1990's
7	4	1990's
7	5	1990's
9	8	1990's
11	8	1990's
7	7	1990's
7	3	1990's
7	0	1990's
18	6	1990's
8	1	1990's
6	9	2000's
6	7	2000's
5	7	2000's
5	1	2000's
8	2	2000's
4	5	2000's
4	3	2000's
7	9	2000's
1	0	2000's
5	6	2000's
5	7	2000's
19	5	2000's
13	3	2000's
6	10	2000's
7	6	2000's
14	7	2000's
7	1	2000's
6	8	2000's
6	8	2000's
6	7	2000's
6	6	2000's
11	9	2000's
4	11	2000's
3	6	2000's
10	10	2000's
3	8	2000's
3	4	2000's
11	3	2000's
3	7	2000's
3	6	2000's
3	1	2000's
2	5	2000's
2	8	2000's
3	5	2000's
2	5	2000's
6	9	2000's
2	0	2000's
2	1	2000's
1	10	2000's
2	7	2000's
2	7	2000's
2	0	2000's
15	2	2000's
2	1	2000's
2	0	2000's
3	1	2000's
3	5	2010's
3	0	2010's
5	1	2010's
4	4	2010's
3	8	2010's
