pref_code	ken	pref	total	u15	pro	o65
1	北海道	Hokkaido	5486	650	3455	1382
2	青森県	Aomori	1363	168	840	355
3	岩手県	Iwate	1314	165	791	358
4	宮城県	Miyagi	2327	303	1503	520
5	秋田県	Akita	1075	121	634	319
6	山形県	Yamagata	1161	147	693	321
7	福島県	Fukushima	1990	263	1225	502
8	茨城県	Ibaraki	2958	394	1888	676
9	栃木県	Tochigi	2000	267	1286	447
10	群馬県	Gumma	2001	272	1250	479
11	埼玉県	Saitama	7207	949	4752	1506
12	千葉県	Chiba	6214	801	4043	1370
13	東京都	Tokyo	13196	1491	8992	2713
14	神奈川県	Kanagawa	9058	1184	6009	1865
15	新潟県	Niigata	2362	297	1441	624
16	富山県	Toyama	1088	140	661	287
17	石川県	Ishikawa	1166	158	730	279
18	福井県	Fukui	803	111	490	202
19	山梨県	Yamanashi	857	113	532	213
20	長野県	Nagano	2142	292	1279	571
21	岐阜県	Gifu	2071	287	1280	504
22	静岡県	Shizuoka	3749	507	2339	903
23	愛知県	Aichi	7416	1063	4824	1530
24	三重県	Mie	1847	251	1145	451
25	滋賀県	Shiga	1414	211	908	295
26	京都府	Kyoto	2632	333	1674	624
27	大阪府	Osaka	8861	1163	5685	2012
28	兵庫県	Hyogo	5582	757	3521	1304
29	奈良県	Nara	1396	182	874	340
30	和歌山県	Wakayama	995	126	595	274
31	鳥取県	Tottori	585	77	353	155
32	島根県	Shimane	712	91	414	207
33	岡山県	Okayama	1941	263	1185	493
34	広島県	Hiroshima	2855	386	1776	693
35	山口県	Yamaguchi	1442	182	853	407
36	徳島県	Tokushima	780	95	473	212
37	香川県	Kagawa	992	131	602	258
38	愛媛県	Ehime	1423	184	857	382
39	高知県	Kochi	758	91	447	220
40	福岡県	Fukuoka	5079	687	3248	1144
41	佐賀県	Saga	847	123	515	209
42	長崎県	Nagasaki	1417	191	855	371
43	熊本県	Kumamoto	1813	249	1097	467
44	大分県	Oita	1191	155	718	319
45	宮崎県	Miyazaki	1131	157	681	293
46	鹿児島県	Kagoshima	1699	232	1016	450
47	沖縄県	Okinawa	1401	247	912	242
