code	pref	score	rank
1	北海道	5.15	43
2	青森	5.25	40
3	岩手	5.88	22
4	宮城	5.43	36
5	秋田	5.40	37
6	山形	5.93	19
7	福島	5.73	27
8	茨城	5.68	30
9	栃木	5.75	26
10	群馬	5.80	25
11	埼玉	5.08	44
12	千葉	5.53	33
13	東京	5.38	38
14	神奈川	5.53	34
15	新潟	6.18	10
16	富山	7.20	2
17	石川	6.90	3
18	福井	7.23	1
19	山梨	6.05	14
20	長野	6.48	7
21	岐阜	6.08	13
22	静岡	5.93	20
23	愛知	5.90	21
24	三重	6.25	9
25	滋賀	6.13	11
26	京都	5.18	42
27	大阪	4.75	47
28	兵庫	5.03	45
29	奈良	5.65	31
30	和歌山	5.63	32
31	鳥取	6.63	4
32	島根	6.35	8
33	岡山	5.83	24
34	広島	5.95	18
35	山口	6.00	16
36	徳島	6.00	17
37	香川	6.10	12
38	愛媛	5.73	28
39	高知	5.00	46
40	福岡	5.28	39
41	佐賀	6.55	5
42	長崎	5.88	23
43	熊本	6.55	6
44	大分	6.05	15
45	宮崎	5.73	29
46	鹿児島	5.45	35
47	沖縄	5.20	41
