PREF_CODE	PREF	PFREFE	COORD.X	COORD.Y	geriatric	malignant	diabetes	hypertensive	heart	Pop_Dens	Aging
1	北海道	Hokkaido	141.346944	43.064167	587.8	314.9	12.5	3.7	159	248	206.6
2	青森	Aomori	140.74	40.824444	662.6	328.3	15.3	5.5	179.9	424.7	205.3
3	岩手	Iwate	141.1525	39.703611	698.3	319.8	13.6	5.4	197.4	360.1	213.6
4	宮城	Miyagi	140.871944	38.268889	536.3	268.5	11	4.9	141.6	746.6	169
5	秋田	Akita	140.103333	39.718056	739.7	366.8	13.3	6	196.6	340	258.3
6	山形	Yamagata	140.363333	38.240556	684.3	328.1	11.9	4.9	186.1	409.4	214.8
7	福島	Fukushima	140.467778	37.75	638.5	297.7	14.6	5	190.2	479.8	182.7
8	茨城	Ibaraki	140.446667	36.341389	562.9	276.5	13.3	4.2	150.5	745.8	166.4
9	栃木	Tochigi	139.883611	36.565833	565.1	266	12.4	5.5	160.2	673.4	162.4
10	群馬	Gunma	139.060833	36.391111	569.6	280	12.9	7.8	159.5	872.7	171
11	埼玉	Saitama	139.648889	35.856944	450.3	234.8	9.8	2.9	122.9	2795	153.6
12	千葉	Chiba	140.123333	35.604722	478.6	242.5	10.4	4.9	137.7	1760.1	165.1
13	東京	Tokyo	139.691667	35.689444	464.6	248.2	9.9	4.2	122.2	9460.6	178.8
14	神奈川	Kanagawa	139.6425	35.447778	427.9	233.1	8	2.7	109.2	6167.2	153.2
15	新潟	Niigata	139.023611	37.902222	640.8	322.8	13.4	7.7	161.1	527.2	205.9
16	富山	Toyama	137.211389	36.695278	606.5	309.6	14.2	6.3	144.8	590.1	200.9
17	石川	Ishikawa	136.625556	36.594444	566	293.4	12.2	4.4	151.6	842.5	172.9
18	福井	Fukui	136.221944	36.065278	596.1	293.9	12.8	5.1	174.5	750.7	179.1
19	山梨	Yamanashi	138.568333	35.663889	566.8	272.7	14.4	6.2	157.8	906.3	183.4
20	長野	Nagano	138.181111	36.651389	603.6	278.1	12.2	5.9	162.6	649.6	192.5
21	岐阜	Gifu	136.722222	35.391111	547.8	279.5	10.3	3.8	153.9	945.7	172.4
22	静岡	Shizuoka	138.383056	34.976944	534.1	263.7	13.7	6.1	138.3	1367.4	174.3
23	愛知	Aichi	136.906667	35.180278	434.2	233.9	9	3	111.5	2490.8	140.1
24	三重	Mie	136.508611	34.730278	536.6	266.7	12	6	148.9	907.4	176.6
25	滋賀	Shiga	135.868333	35.004444	474	243.7	8.3	4.9	133.1	1088.1	137
26	京都	Kyoto	135.755556	35.021389	530.1	280.7	9.5	3.4	154.3	2239.1	181.1
27	大阪	Osaka	135.52	34.686389	505.3	279.8	10.4	8.1	135.6	6728.7	168.4
28	兵庫	Hyogo	135.183056	34.691389	517	283.3	11	4.6	136.7	2013.6	168.8
29	奈良	Nara	135.832778	34.685278	526.8	269.3	9.9	5.5	158.6	1645.1	181.4
30	和歌山	Wakayama	135.1675	34.226111	662.8	338.4	14.8	5.3	198.4	914.5	211.6
31	鳥取	Tottori	134.238333	35.503611	652.7	328.6	15	3.6	183.6	646.4	197.1
32	島根	Shimane	133.050556	35.472222	703.8	347.1	12.7	9	198.8	556.9	224.9
33	岡山	Okayama	133.935	34.661667	549.4	275.4	11.1	3.6	148.1	873.4	183
34	広島	Hiroshima	132.459444	34.396389	543.1	273.7	11.1	3.9	156.5	1249	174.9
35	山口	Yamaguchi	131.471389	34.185833	674.5	329.7	12	5.1	194.2	845.8	219.9
36	徳島	Tokushima	134.559444	34.065833	625.5	311	18.8	8.1	171.5	767	217.3
37	香川	Kagawa	134.043333	34.340278	599.8	287.4	12.3	7.3	189.6	993	192.3
38	愛媛	Ehime	132.766111	33.841667	640.7	303.7	11.1	3.4	206	858.7	204.4
39	高知	Kochi	133.531111	33.559722	708.3	335.2	15.4	3.9	207.3	658.7	235.1
40	福岡	Fukuoka	130.418056	33.606389	503.2	285.5	11.2	7.3	111.4	1828.6	164.2
41	佐賀	Saga	130.298889	33.249444	599.5	314.3	11.2	7	148	637.5	168.6
42	長崎	Nagasaki	129.873611	32.744722	625.4	328.2	9.8	7.8	168.6	873.2	190.9
43	熊本	Kumamoto	130.741667	32.789722	575.7	289.5	11.5	5.5	160	665.2	185.6
44	大分	Oita	131.6125	33.238056	586.8	297.5	12.3	6.4	159.4	685.4	203.5
45	宮崎	Miyazaki	131.423889	31.911111	617.6	296.1	11.1	6.1	181.6	615.1	183.7
46	鹿児島	Kagoshima	130.558056	31.560278	646.5	308.7	12.9	4.2	179.6	521.7	192.7
47	沖縄	Okinawa	127.681111	26.2125	373.7	192.2	10.6	4.7	104.5	1193	97.6
