ID	SIKUCHOSON	FAM	POPT	POPM	POPF	PM	PM_RATE	POP_DENS	PER_FAM
1	中央区	94399	200157	101061	99096	59	0.03	4466.8	2.1
2	花見川区	76307	179770	89456	90314	-200	-0.11	5250.3	2.4
3	稲毛区	68578	156860	78201	78659	-298	-0.19	7381.6	2.3
4	若葉区	62410	151593	76224	75369	-99	-0.07	1800.2	2.4
5	緑区	45533	124119	61216	62903	0	0	1869	2.7
6	美浜区	62898	149314	73126	76188	-85	-0.06	7056.4	2.4
7	銚子市	26656	68197	32859	35338	-274	-0.4	812.7	2.6
8	市川市	219653	469603	236197	233406	-202	-0.04	8181.2	2.1
9	船橋市	263831	610572	306656	303916	244	0.04	7129.5	2.3
10	館山市	20258	48775	23317	25458	-150	-0.31	442.5	2.4
11	木更津市	51033	130119	65700	64419	26	0.02	937.9	2.5
12	松戸市	210240	481574	238875	242699	-450	-0.09	7852.2	2.3
13	野田市	59313	155644	78073	77571	-219	-0.14	1503.2	2.6
14	茂原市	35835	91439	44997	46442	-311	-0.34	914.3	2.6
15	成田市	53608	129210	64998	64212	-307	-0.24	604.2	2.4
16	佐倉市	66071	172269	84427	87842	49	0.03	1663	2.6
17	東金市	24293	60964	30334	30630	-133	-0.22	682.4	2.5
18	旭市	23322	68265	33329	34936	-139	-0.2	525.5	2.9
19	習志野市	71236	165164	83419	81745	-101	-0.06	7868.7	2.3
20	柏市	164449	404252	200831	203421	-366	-0.09	3518.3	2.5
21	勝浦市	8953	20030	10207	9823	-37	-0.18	212.6	2.2
22	市原市	113358	279065	142543	136522	-119	-0.04	757.9	2.5
23	流山市	66590	166493	82933	83560	-54	-0.03	4719.2	2.5
24	八千代市	75170	189512	93614	95898	-277	-0.15	3696.4	2.5
25	我孫子市	53482	132999	65033	67966	-273	-0.2	3079.4	2.5
26	鴨川市	14464	35103	16603	18500	-90	-0.26	183.5	2.4
27	鎌ケ谷市	43062	108816	53689	55127	22	0.02	5154.7	2.5
28	君津市	34484	88409	45056	43353	-115	-0.13	277.3	2.6
29	富津市	17468	47302	23745	23557	-21	-0.04	230.3	2.7
30	浦安市	70716	163013	81067	81946	-239	-0.15	9428.2	2.3
31	四街道市	33603	88167	43721	44446	25	0.03	2540.8	2.6
32	袖ケ浦市	21941	60391	30471	29920	-7	-0.01	636.2	2.8
33	八街市	25992	72277	36179	36098	-135	-0.19	965.4	2.8
34	印西市	30308	89505	44242	45263	469	0.53	723	3
35	白井市	21718	60880	30216	30664	-101	-0.17	1719.3	2.8
36	富里市	19484	50183	25366	24817	-29	-0.06	930.9	2.6
37	南房総市	15490	41140	19479	21661	-202	-0.49	178.7	2.7
38	匝瑳市	13020	39379	19250	20129	-8	-0.02	386.9	3
39	香取市	27480	81240	39817	41423	-208	-0.26	309.7	3
40	山武市	19407	55054	27153	27901	-159	-0.29	376.1	2.8
41	いすみ市	14781	40185	19479	20706	-106	-0.26	255.1	2.7
42	酒々井町	8741	21158	10560	10598	-2	-0.01	1112.4	2.4
43	栄町	8008	21961	10629	11332	-110	-0.5	676.6	2.7
44	神崎町	2167	6415	3208	3207	-23	-0.36	323.2	3
45	多古町	5096	15590	7754	7836	-50	-0.32	214.5	3.1
46	東庄町	4610	14852	7307	7545	-31	-0.21	321.8	3.2
47	大網白里町	18505	50088	24606	25482	-41	-0.08	862.7	2.7
48	九十九里町	6548	17466	8422	9044	-40	-0.23	736.3	2.7
49	芝山町	2463	7707	3774	3933	-16	-0.21	177.3	3.1
50	横芝光町	8233	24315	11840	12475	-8	-0.03	363.4	3
51	一宮町	4425	11945	5846	6099	-46	-0.38	518.9	2.7
52	睦沢町	2416	7185	3401	3784	-36	-0.5	201.9	3
53	長生村	5118	14681	7193	7488	-7	-0.05	518.4	2.9
54	白子町	4265	11852	5804	6048	-24	-0.2	431.6	2.8
55	長柄町	2651	7870	3841	4029	-23	-0.29	166.7	3
56	長南町	2817	8774	4239	4535	-36	-0.41	134.2	3.1
57	大多喜町	3581	10412	5022	5390	-39	-0.37	80.2	2.9
58	御宿町	3150	7678	3619	4059	4	0.05	308.1	2.4
59	鋸南町	3479	8691	4159	4532	-29	-0.33	192.4	2.5
60	所属未定地	0	0	0	0	0	0	0	0
