KENCODE,PREF,X,Y,geriatric,malignant,diabetes,hypertensive
1,Hokkaido,141.34694400000,43.06416700000,550.60000000000,287.80000000000,12.80000000000,2.90000000000
2,Aomori,140.74000000000,40.82444400000,637.30000000000,306.00000000000,13.30000000000,3.80000000000
3,Iwate,141.15250000000,39.70361100000,656.40000000000,297.30000000000,11.60000000000,5.10000000000
4,Miyagi,140.87194400000,38.26888900000,513.90000000000,251.40000000000,10.30000000000,4.80000000000
5,Akita,140.10333300000,39.71805600000,688.10000000000,337.90000000000,12.20000000000,3.40000000000
6,Yamagata,140.36333300000,38.24055600000,658.70000000000,312.10000000000,11.10000000000,4.50000000000
7,Fukushima,140.46777800000,37.75000000000,613.70000000000,278.70000000000,13.10000000000,4.30000000000
8,Ibaraki,140.44666700000,36.34138900000,542.00000000000,257.10000000000,13.00000000000,4.80000000000
9,Tochigi,139.88361100000,36.56583300000,553.10000000000,251.20000000000,11.20000000000,4.80000000000
10,Gunma,139.06083300000,36.39111100000,561.40000000000,261.60000000000,12.00000000000,7.30000000000
11,Saitama,139.64888900000,35.85694400000,433.30000000000,218.40000000000,9.30000000000,2.90000000000
12,Chiba,140.12333300000,35.60472200000,456.30000000000,226.80000000000,10.60000000000,4.70000000000
13,Tokyo,139.69166700000,35.68944400000,469.60000000000,242.30000000000,10.40000000000,4.80000000000
14,Kanagawa,139.64250000000,35.44777800000,412.30000000000,219.70000000000,7.80000000000,2.40000000000
15,Niigata,139.02361100000,37.90222200000,628.40000000000,307.70000000000,12.30000000000,7.10000000000
16,Toyama,137.21138900000,36.69527800000,579.90000000000,289.80000000000,14.50000000000,4.90000000000
17,Ishikawa,136.62555600000,36.59444400000,539.30000000000,266.00000000000,11.00000000000,4.50000000000
18,Fukui,136.22194400000,36.06527800000,562.00000000000,276.80000000000,12.10000000000,4.30000000000
19,Yamanashi,138.56833300000,35.66388900000,577.60000000000,271.80000000000,12.50000000000,4.30000000000
20,Nagano,138.18111100000,36.65138900000,595.00000000000,267.90000000000,9.80000000000,5.90000000000
21,Gifu,136.72222200000,35.39111100000,538.10000000000,255.80000000000,9.90000000000,3.60000000000
22,Shizuoka,138.38305600000,34.97694400000,512.60000000000,245.20000000000,11.80000000000,5.70000000000
23,Aichi,136.90666700000,35.18027800000,447.40000000000,224.60000000000,8.30000000000,2.90000000000
24,Mie,136.50861100000,34.73027800000,547.10000000000,252.80000000000,13.50000000000,4.80000000000
25,Shiga,135.86833300000,35.00444400000,451.70000000000,231.80000000000,9.10000000000,4.20000000000
26,Kyoto,135.75555600000,35.02138900000,515.40000000000,259.50000000000,8.40000000000,3.70000000000
27,Osaka,135.52000000000,34.68638900000,484.50000000000,264.20000000000,10.40000000000,6.50000000000
28,Hyogo,135.18305600000,34.69138900000,505.10000000000,268.90000000000,12.40000000000,3.80000000000
29,Nara,135.83277800000,34.68527800000,520.00000000000,266.60000000000,8.40000000000,3.50000000000
30,Wakayama,135.16750000000,34.22611100000,643.30000000000,317.00000000000,12.20000000000,5.20000000000
31,Tottori,134.23833300000,35.50361100000,625.10000000000,299.00000000000,12.30000000000,5.30000000000
32,Shimane,133.05055600000,35.47222200000,677.30000000000,334.90000000000,11.70000000000,7.30000000000
33,Okayama,133.93500000000,34.66166700000,545.90000000000,256.10000000000,11.50000000000,3.70000000000
34,Hiroshima,132.45944400000,34.39638900000,530.20000000000,266.30000000000,10.80000000000,4.30000000000
35,Yamaguchi,131.47138900000,34.18583300000,663.90000000000,324.70000000000,11.20000000000,5.50000000000
36,Tokushima,134.55944400000,34.06583300000,610.10000000000,285.60000000000,18.00000000000,7.70000000000
37,Kagawa,134.04333300000,34.34027800000,586.00000000000,282.80000000000,14.30000000000,5.20000000000
38,Ehime,132.76611100000,33.84166700000,633.00000000000,289.90000000000,12.30000000000,4.50000000000
39,Kochi,133.53111100000,33.55972200000,683.50000000000,318.20000000000,11.00000000000,5.00000000000
40,Fukuoka,130.41805600000,33.60638900000,494.90000000000,274.70000000000,10.10000000000,7.80000000000
41,Saga,130.29888900000,33.24944400000,594.90000000000,314.00000000000,11.20000000000,8.70000000000
42,Nagasaki,129.87361100000,32.74472200000,608.60000000000,314.30000000000,8.70000000000,5.90000000000
43,Kumamoto,130.74166700000,32.78972200000,560.90000000000,274.00000000000,10.60000000000,5.70000000000
44,Oita,131.61250000000,33.23805600000,592.80000000000,278.20000000000,15.20000000000,6.20000000000
45,Miyazaki,131.42388900000,31.91111100000,571.10000000000,270.70000000000,12.00000000000,5.10000000000
46,Kagoshima,130.55805600000,31.56027800000,627.00000000000,288.80000000000,13.60000000000,5.80000000000
47,Okinawa,127.68111100000,26.21250000000,351.90000000000,185.80000000000,11.40000000000,3.20000000000
